msa_name,msa_code,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
"Denver-Aurora-Lakewood, CO",19740,245900.0,243600.0,246900.0,257000.0,276800.0,314400.0,349200.0,386800.0,420600.0,437800.0,478700.0,519600.0
"Des Moines-West Des Moines, IA",19780,151900.0,153400.0,158900.0,159100.0,164400.0,164700.0,175300.0,187500.0,195300.0,201000.0,215450.0,229900.0
"Detroit-Warren-Dearborn, MI",19820,124400.0,118200.0,116200.0,120500.0,136400.0,151000.0,160700.0,171600.0,180300.0,191800.0,206350.0,220900.0
"Dothan, AL",20020,111400.0,109900.0,99400.0,107600.0,106300.0,120500.0,118200.0,134400.0,125500.0,142200.0,146250.0,150300.0
"Dover, DE",20100,206200.0,200200.0,197500.0,192800.0,205300.0,215200.0,199000.0,223100.0,228500.0,225200.0,247550.0,269900.0
"Dubuque, IA",20220,150100.0,146800.0,144700.0,146100.0,147200.0,161700.0,161600.0,167600.0,167100.0,171400.0,186050.0,200700.0
"Duluth, MN-WI",20260,142400.0,139300.0,137100.0,138800.0,140100.0,147300.0,156200.0,158000.0,161200.0,167200.0,179550.0,191900.0
"Durham-Chapel Hill, NC",20500,190000.0,190700.0,188500.0,197900.0,199200.0,204700.0,222200.0,234400.0,250200.0,251900.0,283250.0,314600.0
"East Stroudsburg, PA",20700,202300.0,191800.0,178400.0,176600.0,167800.0,166700.0,164200.0,164000.0,173500.0,177600.0,199250.0,220900.0
"Eau Claire, WI",20740,147500.0,146500.0,148700.0,149600.0,150400.0,151500.0,160900.0,168900.0,171900.0,188700.0,205850.0,223000.0
"El Centro, CA",20940,154100.0,130800.0,133800.0,148400.0,156000.0,169000.0,170900.0,200700.0,214400.0,229600.0,239700.0,249800.0
"Elizabethtown-Fort Knox, KY",21060,136800.0,135900.0,140000.0,136500.0,136500.0,141500.0,156700.0,144500.0,157800.0,155700.0,169400.0,183100.0
"Elkhart-Goshen, IN",21140,126200.0,122000.0,120700.0,119300.0,125900.0,134900.0,129300.0,143900.0,152800.0,160400.0,168950.0,177500.0
"Elmira, NY",21300,92100.0,96900.0,95500.0,96500.0,111800.0,98600.0,111600.0,112900.0,105300.0,110900.0,119750.0,128600.0
"El Paso, TX",21340,108200.0,114700.0,113200.0,110900.0,114700.0,113900.0,119600.0,122200.0,123600.0,125100.0,136550.0,148000.0
"Enid, OK",21420,,,,,,,112800.0,115300.0,116800.0,119400.0,131550.0,143700.0
"Erie, PA",21500,117500.0,114600.0,115200.0,116100.0,124400.0,121800.0,125700.0,138700.0,143700.0,143600.0,147550.0,151500.0
"Eugene-Springfield, OR",21660,229400.0,212900.0,206600.0,206700.0,214700.0,235800.0,243500.0,258300.0,281200.0,293300.0,329500.0,365700.0
"Evansville, IN-KY",21780,116300.0,112400.0,115600.0,120900.0,127600.0,130400.0,137300.0,140600.0,146400.0,147300.0,157700.0,168100.0
"Fairbanks, AK",21820,212200.0,205900.0,214500.0,218200.0,237400.0,229300.0,226900.0,239000.0,259500.0,259800.0,262850.0,265900.0
"Fargo, ND-MN",22020,154600.0,154200.0,160200.0,166900.0,171300.0,193600.0,200200.0,215600.0,221400.0,236100.0,241450.0,246800.0
"Farmington, NM",22140,153200.0,155800.0,145700.0,130500.0,151500.0,147800.0,153100.0,156300.0,149600.0,154200.0,154450.0,154700.0
"Fayetteville, NC",22180,127500.0,136400.0,127500.0,132200.0,125900.0,127800.0,134600.0,138100.0,138700.0,144800.0,157350.0,169900.0
"Fayetteville-Springdale-Rogers, AR",22220,146300.0,141600.0,137200.0,141000.0,152300.0,159800.0,166600.0,173100.0,173600.0,196300.0,219350.0,242400.0
"Flagstaff, AZ",22380,233800.0,202100.0,214300.0,204800.0,227500.0,228600.0,272000.0,277400.0,293800.0,317700.0,355800.0,393900.0
"Flint, MI",22420,94100.0,87900.0,84100.0,82800.0,93800.0,99200.0,106900.0,110000.0,118700.0,128900.0,143150.0,157400.0
"Florence, SC",22500,100800.0,107300.0,102700.0,112600.0,108700.0,115300.0,113700.0,114900.0,124800.0,128500.0,132100.0,135700.0
"Florence-Muscle Shoals, AL",22520,107300.0,110200.0,113400.0,111000.0,110700.0,114800.0,132100.0,134600.0,145800.0,145500.0,150850.0,156200.0
"Fond du Lac, WI",22540,147700.0,149400.0,141700.0,142600.0,141600.0,146700.0,157700.0,152100.0,162700.0,172700.0,182200.0,191700.0
"Fort Collins, CO",22660,247600.0,241500.0,243600.0,260100.0,269700.0,298100.0,339900.0,359800.0,398300.0,420100.0,453900.0,487700.0
