msa_name,msa_code,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
"Iowa City, IA",26980,48425.0,52602.0,52767.0,52220.0,59791.0,55332.0,57777.0,60888.0,64635.0,63761.0,64988.5,66216.0
"Ithaca, NY",27060,52064.0,51586.0,49930.0,48516.0,52885.0,58084.0,56349.0,56672.0,57276.0,58626.0,62533.5,66441.0
"Jackson, MI",27100,42862.0,41686.0,42653.0,43668.0,45371.0,50783.0,50009.0,50258.0,51031.0,55124.0,56689.0,58254.0
"Jackson, MS",27140,42501.0,43732.0,42604.0,43611.0,46967.0,46757.0,50632.0,52434.0,55700.0,52426.0,53274.5,54123.0
"Jackson, TN",27180,40464.0,38170.0,42270.0,38663.0,40338.0,46553.0,42373.0,43570.0,45610.0,48700.0,50443.0,52186.0
"Jacksonville, FL",27260,50324.0,50130.0,48118.0,51495.0,51117.0,53221.0,56840.0,58709.0,60238.0,65880.0,67137.0,68394.0
"Jacksonville, NC",27340,41787.0,45573.0,44250.0,44673.0,47581.0,45832.0,47150.0,49883.0,50639.0,49544.0,52539.0,55534.0
"Janesville-Beloit, WI",27500,46758.0,47559.0,45989.0,47118.0,50610.0,53777.0,50729.0,55304.0,57037.0,61243.0,63666.5,66090.0
"Jefferson City, MO",27620,51742.0,50708.0,46835.0,47586.0,51329.0,55069.0,55031.0,52579.0,60281.0,60786.0,62364.0,63942.0
"Johnson City, TN",27740,36791.0,36550.0,39137.0,37423.0,38813.0,40388.0,40943.0,40663.0,45839.0,45917.0,48518.0,51119.0
"Johnstown, PA",27780,41220.0,40253.0,39969.0,41423.0,43224.0,44179.0,44100.0,46598.0,45084.0,49076.0,51035.5,52995.0
"Jonesboro, AR",27860,35526.0,34673.0,41551.0,39552.0,40751.0,37378.0,41717.0,48929.0,43927.0,44998.0,46466.5,47935.0
"Joplin, MO",27900,38448.0,40952.0,38229.0,40852.0,42705.0,45089.0,45876.0,48979.0,47012.0,48909.0,51977.0,55045.0
