msa_name,msa_code,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
"Hinesville, GA",25980,718.0,707.0,762.0,764.0,804.0,733.0,840.0,800.0,911.0,844.0,880.0,916.0
"Homosassa Springs, FL",26140,620.0,603.0,674.0,623.0,593.0,595.0,659.0,634.0,732.0,739.0,791.0,843.0
"Hot Springs, AR",26300,535.0,528.0,561.0,499.0,516.0,560.0,568.0,566.0,617.0,591.0,612.0,633.0
"Houma-Thibodaux, LA",26380,551.0,612.0,633.0,628.0,673.0,616.0,690.0,656.0,666.0,694.0,696.5,699.0
"Houston-The Woodlands-Sugar Land, TX",26420,688.0,692.0,724.0,747.0,777.0,823.0,871.0,895.0,939.0,985.0,1012.0,1039.0
"Huntington-Ashland, WV-KY-OH",26580,427.0,441.0,441.0,455.0,492.0,503.0,517.0,505.0,543.0,549.0,570.0,591.0
"Huntsville, AL",26620,509.0,526.0,570.0,576.0,551.0,600.0,628.0,632.0,674.0,698.0,749.5,801.0
"Idaho Falls, ID",26820,553.0,513.0,546.0,575.0,575.0,656.0,624.0,633.0,648.0,677.0,732.0,787.0
"Indianapolis-Carmel-Anderson, IN",26900,609.0,620.0,640.0,639.0,649.0,663.0,694.0,717.0,735.0,757.0,792.0,827.0
"Iowa City, IA",26980,682.0,684.0,683.0,705.0,787.0,734.0,754.0,818.0,836.0,821.0,833.5,846.0
"Ithaca, NY",27060,784.0,851.0,890.0,844.0,928.0,1022.0,932.0,1015.0,1073.0,1159.0,1181.0,1203.0
"Jackson, MI",27100,542.0,619.0,581.0,570.0,584.0,594.0,601.0,621.0,634.0,641.0,665.5,690.0
"Jackson, MS",27140,608.0,586.0,607.0,626.0,625.0,650.0,663.0,693.0,707.0,674.0,706.5,739.0
"Jackson, TN",27180,482.0,458.0,520.0,458.0,519.0,588.0,581.0,579.0,513.0,551.0,582.5,614.0
"Jacksonville, FL",27260,747.0,751.0,760.0,793.0,798.0,834.0,853.0,870.0,916.0,961.0,1025.5,1090.0
"Jacksonville, NC",27340,772.0,775.0,758.0,740.0,733.0,801.0,819.0,902.0,839.0,765.0,818.5,872.0
"Janesville-Beloit, WI",27500,582.0,593.0,599.0,611.0,629.0,631.0,626.0,666.0,686.0,728.0,738.0,748.0
"Jefferson City, MO",27620,442.0,453.0,435.0,464.0,442.0,488.0,489.0,477.0,483.0,546.0,543.0,540.0
"Johnson City, TN",27740,462.0,455.0,494.0,469.0,526.0,535.0,553.0,540.0,538.0,584.0,614.0,644.0
"Johnstown, PA",27780,406.0,401.0,397.0,387.0,385.0,445.0,442.0,453.0,446.0,443.0,483.5,524.0
"Jonesboro, AR",27860,459.0,477.0,506.0,498.0,534.0,530.0,565.0,604.0,581.0,598.0,623.0,648.0
"Joplin, MO",27900,444.0,441.0,456.0,498.0,506.0,525.0,533.0,534.0,533.0,549.0,589.5,630.0
"Kahului-Wailuku-Lahaina, HI",27980,1158.0,1092.0,1147.0,1134.0,1111.0,1282.0,1163.0,1247.0,1514.0,1506.0,1464.0,1422.0
"Kalamazoo-Portage, MI",28020,585.0,576.0,580.0,595.0,611.0,616.0,653.0,677.0,680.0,719.0,750.0,781.0
"Kankakee, IL",28100,588.0,639.0,631.0,668.0,698.0,703.0,702.0,653.0,731.0,772.0,755.5,739.0
"Kansas City, MO-KS",28140,612.0,629.0,638.0,660.0,670.0,684.0,711.0,740.0,767.0,790.0,833.0,876.0
"Kennewick-Richland, WA",28420,621.0,658.0,671.0,721.0,742.0,723.0,758.0,808.0,828.0,902.0,914.5,927.0
"Killeen-Temple, TX",28660,631.0,660.0,655.0,663.0,699.0,694.0,699.0,757.0,730.0,738.0,786.0,834.0
"Kingsport-Bristol, TN-VA",28700,413.0,445.0,451.0,438.0,439.0,474.0,491.0,474.0,479.0,524.0,548.0,572.0
"Kingston, NY",28740,803.0,825.0,831.0,840.0,866.0,854.0,868.0,925.0,997.0,923.0,1006.0,1089.0
"Knoxville, TN",28940,545.0,574.0,597.0,584.0,571.0,586.0,603.0,640.0,660.0,696.0,747.0,798.0
"Kokomo, IN",29020,486.0,480.0,491.0,464.0,530.0,513.0,558.0,548.0,565.0,569.0,641.5,714.0
"La Crosse-Onalaska, WI-MN",29100,558.0,581.0,620.0,584.0,641.0,638.0,671.0,685.0,709.0,727.0,771.5,816.0
"Lafayette, LA",29180,558.0,622.0,608.0,578.0,593.0,594.0,620.0,594.0,628.0,641.0,654.0,667.0
"Lafayette-West Lafayette, IN",29200,,,,644.0,659.0,658.0,645.0,651.0,685.0,731.0,741.0,751.0
"Lake Charles, LA",29340,535.0,566.0,555.0,601.0,624.0,619.0,651.0,691.0,684.0,748.0,787.0,826.0
"Lake Havasu City-Kingman, AZ",29420,614.0,616.0,653.0,597.0,616.0,611.0,655.0,648.0,669.0,728.0,757.5,787.0
"Lakeland-Winter Haven, FL",29460,639.0,644.0,662.0,677.0,714.0,720.0,719.0,762.0,786.0,823.0,871.5,920.0
"Lancaster, PA",29540,680.0,672.0,741.0,756.0,744.0,785.0,813.0,829.0,826.0,890.0,933.5,977.0
"Lansing-East Lansing, MI",29620,642.0,625.0,648.0,666.0,660.0,674.0,693.0,707.0,738.0,729.0,751.0,773.0
"Laredo, TX",29700,525.0,563.0,531.0,574.0,586.0,614.0,630.0,639.0,668.0,669.0,682.5,696.0
"Las Cruces, NM",29740,553.0,540.0,585.0,562.0,613.0,619.0,621.0,591.0,568.0,656.0,649.0,642.0
"Las Vegas-Henderson-Paradise, NV",29820,842.0,818.0,825.0,841.0,833.0,855.0,883.0,927.0,975.0,1045.0,1107.5,1170.0
