msa_name,trend_coef_Jobs,average_value_Jobs,pct_coef_Jobs,average_pct_Jobs,normalized_trend_coef_Jobs,normalized_pct_coef_Jobs,normalized_average_pct_Jobs,Jobs_weight,total_weight,avg_insurance,prop_tax,Jobs,Median Rent,Median Price,rent_price_ratio
"Kennewick, WA",5.752890340796725,207.27272727272728,6.646317365151787e-09,0.0018618333657645335,0.06299538284448329,0.40718052555115575,0.5844794933217617,0.5844794933217617,0.5844794933217617,2801.0,0.0098,128000.0,1699.7338217338215,429438.81850201,0.0039580348783161195
"Prescott, AZ",3.0752616139032045,112.72727272727273,-2.615424682223e-07,0.0018606100037271913,0.053006099308614475,0.3445335466239305,0.5842650977404704,0.5842650977404704,0.5842650977404704,4086.0,0.0066,71100.0,,,
"Atlanta, GA",138.3279284013837,4861.818181818182,-1.1794010584231878e-07,0.001835613954820056,0.5575858507702728,0.37807802966490733,0.5798845118862005,0.5798845118862005,0.5798845118862005,4006.0,0.0092,3078000.0,1919.1852151724595,388469.2969962892,0.004940378120000542
"Sacramento, CA",45.89053483470843,1729.090909090909,-9.94307188129875e-08,0.0018334422119667564,0.2127347052847343,0.38240168986808265,0.5795039114938098,0.5795039114938098,0.5795039114938098,2598.0,0.0076,1095100.0,2257.290357841637,590018.0704427218,0.003825798684687526
"San Antonio, TX",49.24708337950655,1863.6363636363637,2.913446993739068e-07,0.0018191039035381096,0.22525679797784484,0.47368402792262887,0.5769911067177412,0.5769911067177412,0.5769911067177412,5602.0,0.018,1179700.0,1460.6926833326845,288908.7900355374,0.005055895610351665
"Wenatchee, WA",1.7436129669160354,77.27272727272727,2.606387961405851e-07,0.0018015442602090496,0.048038190288477986,0.46651134891375196,0.5739137593554009,0.5739137593554009,0.5739137593554009,2801.0,0.0098,50500.0,1740.5673076923076,506376.8427293538,0.0034372964180405833
"Lake Havasu City, AZ",3.028826056897851,87.27272727272727,-2.882233075680148e-07,0.0017801260025997517,0.05283286470726232,0.33830109370241696,0.5701601854743857,0.5701601854743857,0.5701601854743857,4086.0,0.0066,56200.0,1608.2857142857144,362617.84780540015,0.004435208371621039
"Rome, GA",1.6340341167641546,71.81818181818181,1.5197809089613469e-06,0.0017743887890510552,0.047629390445278086,0.76063792559174,0.5691547323082586,0.5691547323082586,0.5691547323082586,4006.0,0.0092,47900.0,1261.0,217367.85652075757,0.005801225720232377
"Winchester, VA",3.3615403246183173,113.63636363636364,1.8885934594663321e-07,0.0017653080549690332,0.05407410368983949,0.4497441835982507,0.5675633233854374,0.5675633233854374,0.5675633233854374,3430.0,0.0082,72600.0,1796.6666666666667,358625.41155445046,0.005009869933307492
"Miami, FL",106.06067481863508,4387.272727272727,3.5888893657564143e-07,0.0017644061668005775,0.43720816669313584,0.4894618778255019,0.5674052664634195,0.5674052664634195,0.5674052664634195,5854.0,0.0089,2956000.0,2748.1186255268763,569625.5022350437,0.004824430463074535
"Jonesboro, AR",3.1419549399900255,98.18181818181819,-4.683305721232843e-07,0.0017577475729615947,0.05325490846484292,0.29622932704551136,0.5662383403588682,0.5662383403588682,0.5662383403588682,6099.0,0.0062,64200.0,1244.9188034188037,189547.0346123431,0.006567862198239507
